category,keywords
restaurant,"restaurant,dining,eatery,food,meal,lunch,dinner,brunch,breakfast,delicious,cuisine,menu,taste,chef,serve,dish,bistro,steakhouse,grill,diner,barbecue"
cafe,"cafe,coffee,coffeehouse,espresso,latte,mocha,brew,tea,tea house,pastry,dessert,light bites,snack,refreshment,barista,roast,bean,drink"
historical,"historical,museum,historical site,heritage,monument,landmark,ruins,ancient,antique,archeological,exhibit,artifacts,memorial,archive,old,tour,architecture,castle,palace"
family-friendly,"family-friendly,family,kid-friendly,children,park,playground,amusement,zoo,aquarium,theme park,water park,safari,game,fun,activity,outdoor,indoor,recreation,entertainment"
nightlife,"nightlife,bar,club,night out,party,dance,dj,live music,concert,festival,drink,alcohol,beer,cocktail,night,evening,hangout,venue,disco,pub,lounge"
ambience,"ambience,scenic,view,atmosphere,cozy,chill,relax,peaceful,romantic,vibe,garden,rooftop,balcony,terrace,patio,setting,decor,inspirational,picturesque,serene,aesthetic"
outdoor,"adventure,explore,hiking,biking,trekking,camping,climbing,picnic,nature,trail,scenery,landscape,forest,mountain,beach,river,lake,park,wildlife,experience,safari,rafting"
shopping,"shopping,store,mall,boutique,market,bazaar,shop,outlet,buy,sale,discount,fashion,clothes,accessories,retail,commerce,goods,product,purchase,merchandise,brand,shopper"
cultural,"cultural,tradition,festival,celebration,custom,dance,music,art,craft,ritual,ceremony,heritage,folklore,ethnic,native,local,community,performance,show,exhibit,parade,food"
entertainment,"entertainment,show,movie,theater,cinema,concert,festival,live music,performance,comedy,magic,circus,game,arcade,fun,leisure,amusement,activity,attraction,exhibit"
